000001,GL,
000001,EG,
000001,MI,
000011,MI,
000111,EG,
000111,FI,
000111,GL,
000111,MI,
000111,SO,
001000,FI,
001001,GL,
001001,MI,
001010,GL,
001010,MI,
001011,GL,
001011,MI,
001100,GL,
001100,SO,
001100,SE,
001100,TR,
001100,PE,
001101,GL,
001101,SO,
001101,SE,
001101,TR,
001101,PE,
001101,MU,
001110,GL,
001110,SO,
001110,SE,
001110,TR,
001110,PE,
001111,GL,
001111,SO,
001111,MI,
001111,EG,
010000,GL,
010000,SO,
010000,MI,
010000,EG,
010001,GL,
010001,SO,
010001,MI,
010001,EG,
010010,GL,
010011,GL,
010100,CR,
010100,SH,
010100,GL,
010101,GL,
010101,SE,
010110,GL,
010110,SE,
010111,GL,
010111,SE,
011000,GL,
011000,MI,
011000,SO,
011001,GL,
011001,MI,
011001,SO,
011011,GL,
011011,SO,
011100,GL,
011100,MI,
011100,EG,
011101,MI,
011111,MI,
011111,EG,
011111,PE,
011111,TR,
100000,MI,
100000,EG,
100010,MI,
100000,EG,
