000010,VGN,
000010,VEG,
000010,LAC,
000010,GLT,
000011,VEG,
000011,GLT,
000100,LAC,
000100,GLT,
000101,LAC,
000101,GLU,
000110,VEG,
000110,VGN,
000110,GLT,
000110,LAC,
001000,GLT,
001011,VEG,
001110,VEG,
010001,VEG,
010101,LAC,
010111,VGN,
010111,VEG,
010111,LAC,
011000,VEG,
011011,VGN,
011011,VEG,
011011,LAC,
011100,VEG,
011101,VEG,
011101,GLT,
011111,VEG,
100000,GLT,
100001,VGN,
100001,VEG,
100001,GLT,
100001,LAC,
100010,GLT,
100010,VEG,
100011,GLT,
100011,LAC,
100011,VGN,
100011,VEG,
100100,GLT,
100100,VGN,
100100,VEG,
100100,LAC,
100101,VEG,
100101,VGN,
100101,GLU,
100101,LAC,
100111,VEG,
100111,VGN,
100111,LAC
